vöktum,vœxtʏm
aðalnámskrár,a:ðalnaumskraur
aðalorkan,a:ðalɔr̥kan
aðalpersóna,a:ðalpɛr̥souna
aðalpersónan,a:ðalpɛr̥sounan
aðalpersónu,a:ðalpʰɛr̥sounʏ
aðalpósthúsinu,a:ðalpousthusɪnʏ
aðalrétt,a:ðalrjɛht
aðalréttinum,a:ðalrjɛhtɪnʏm
aðalrétturinn,a:ðalrjɛhtʏrɪn
aðalritstjóra,a:ðalrɪ:tstjoura
aðalritstjórann,a:ðalrɪ:tstjouran
aðalritstjórans,a:ðalrɪ:tstjourans
aðalritstjórinn,a:ðalrɪ:tstjourɪn
aðalræðismaður,a:ðalrai:ðɪsma:ðʏr
aðalsafn,a:ðalsapn̥
aðalsafnaðarfundur,a:ðalsapnaðarfʏntʏr
aðalsafninu,a:ðalsapnɪnʏ
aðalsafnsins,a:ðalsapsɪns
aðalsagnarinnar,a:ðalsaknarɪnar
aðalsal,a:ðalsa:l
aðalsalnum,a:ðalsalnʏm
aðalskipulag,a:ðalscɪpʏlaɣ
aðalskipulagi,a:ðalscɪ:pʏla:jɪ
aðalskipulaginu,a:ðalscɪ:pʏla:jɪnʏ
aðalskipulags,a:ðalscɪpʏlaxs
aðalskipulagsskyldra,a:ðalscɪpʏlaxscɪltra
aðalsmaður,a:ðalsma:ðʏr
aðalsmerki,a:ðalsmɛr̥cɪ
aðalstarf,a:ðalstarv
aðalstarfi,a:ðalstarvɪ
Aðalstein,a:ðalstei:n
Aðalsteini,a:ðalstei:nɪ
Aðalsteinn,a:ðalsteitn̥
Aðalsteins,a:ðalsteins
Aðalsteinsdóttir,a:ðalsteinstouhtɪr
Aðalsteinsdóttur,a:ðalsteinstouhtʏr
Aðalsteinsson,a:ðalsteinsɔ:n
Aðalsteinssonar,a:ðalsteinsɔ:nar
Aðalsteinssyni,a:ðalsteinsɪ:nɪ
aðalstjórn,a:ðalstjourtn̥
aðalstoð,a:ðalstɔð
Aðalstræti,a:ðalstrai:tɪ
Aðalstrætis,a:ðalstrai:tɪs
aðalstyrktaraðili,a:ðalstɪr̥taraðɪlɪ
aðalstöðvar,a:ðalstœðvar
aðalstöðvum,a:ðalstœðvʏm
aðalstöðvunum,a:ðalstœðvɔnʏm
aðalsættum,a:ðalsaihtʏm
aðaltekjulindir,a:ðaltʰɛ:cʏlɪntɪr
aðaltorg,a:ðal̥tɔrk
aðaluppspretta,a:ðalʏhpsprɛhta
aðalvandinn,a:ðalvantɪn
aðalveginn,a:ðalvei:jɪn
aðalverka,a:ðalvɛr̥ka
aðalverki,a:ðalvɛr̥cɪ
aðalverktaka,a:ðalvɛr̥ktaka
aðalverktakar,a:ðalvɛr̥ktakar
aðalverktökum,a:ðalvɛr̥ktœkʏm
Aðalvík,a:ðalvi:k
aðbúnað,aðpunað
aðbúnaði,aðpunaðɪ
aðbúnaður,aðpunaðʏr
aðdáandi,aðtauantɪ
aðdáenda,aðtauɛnta
aðdáendaklúbbs,aðtauɛntakʰlups
aðdáendum,aðtauɛntʏm
aðdáendur,aðtauɛntʏr
aðdáun,aðtauʏn
aðdáunar,aðtauʏnar
aðdáunaraugum,aðtauʏnarœi:ɣʏm
aðdáunarverð,aðtauʏnarvɛrð
aðdáunarverðar,aðtauʏnarvɛrðar
aðdáunarvert,aðtauʏnarvɛr̥t
aðdáunin,aðtauʏnɪn
aðdáunina,aðtauʏnɪna
aðdraganda,aðtraɣanta
aðdragandi,aðtraɣantɪ
aðdráttarafl,aðtrauhtarapl̥
aðdráttarlinsuna,aðtrauhtarlɪnsʏna
aðdróttanir,aðtrouhtanɪr
aðeins,a:ðeins
aðfangadag,aðfauŋkata:ɣ
aðfangadagskvöld,aðfauŋkataxskvœlt
aðfangadagur,aðfauŋkata:ɣʏr
aðfaranótt,aðfaranouht
aðfarir,aðfarɪr
aðfarirnar,aðfarɪtnar
aðferð,aðfɛrð
aðferða,aðfɛrða
aðferðafræði,aðfɛrðafrai:ðɪ
aðferðin,aðfɛrðɪn
aðferðina,aðfɛrðɪna
aðferðinni,aðfɛrðɪnɪ
aðferðir,aðfɛrðɪr
aðferðirnar,aðfɛrðɪtnar
aðferðum,aðfɛrðʏm
aðfinnslur,aðfɪnstlʏr
aðflugsbúnað,aðflʏxspu:nað
aðflugshallasendum,aðflʏxshatlasɛntʏm
aðflugsstefnu,aðflʏxstɛpnʏ
aðframkomnir,aðframkʰɔmnɪr
aðföng,aðfœiŋk
aðför,aðfœr
aðgang,aðkauŋk
aðgangi,aðkauŋcɪ
aðgangs,aðkauŋks
aðgangsbox,aðkauŋspɔks
aðgangseyri,aðkauŋksei:rɪ
aðgangseyrir,aðkauŋksei:rɪr
aðgangsharðir,aðkauŋsharðɪr
aðgangsorð,aðkauŋsɔrð
aðgangstölur,aðkauŋkstœ:lʏr
aðgangstölurnar,aðkauŋkstœ:lʏtnar
aðgangur,aðkauŋkʏr
aðgát,aðkaut
aðgengi,aðceiɲcɪ
aðgengileg,aðceiɲcɪlɛɣ
aðgengilega,aðceiɲcɪlɛɣa
aðgengilegan,aðceiɲcɪlɛɣan
aðgengilegar,aðceiɲcɪlɛɣar
aðgengilegasta,aðcɛjɲcɪlɛɣasta
aðgengilegir,aðcɛjɲcɪlɛjɪr
aðgengilegri,aðceiɲcɪlɛɣrɪ
aðgengilegt,aðceiɲcɪlɛxt
aðgengilegum,aðcɛjɲcɪlɛɣʏm
aðgengilegur,aðceiɲcɪlɛɣʏr
aðgerð,aðcɛrð
aðgerða,aðcɛrða
aðgerðalaus,aðcɛrðalœi:s
aðgerðaleysi,aðcɛrðalei:sɪ
aðgerðanna,aðcɛrðana
aðgerðarleysi,aðcɛrðalei:sɪ
aðgerðin,aðcɛrðɪn
aðgerðina,aðcɛrðɪna
aðgerðinni,aðcɛrðɪnɪ
aðgerðir,aðcɛrðɪr
aðgerðirnar,aðcɛrðɪtnar
aðgerðum,aðcɛrðʏm
aðgerðunum,aðcɛrðɔnʏm
aðgreina,aðkreina
aðgreiningar,aðkreiniŋkar
aðgæslu,aðcaistlʏ
aðgæta,aðcaita
aðgöngumiða,aðkœiŋkʏmɪ:ða
aðhafast,a:ðhavast
aðhafst,a:ðhafst
aðhald,a:ðhalt
aðhaldi,a:ðhaltɪ
aðhalds,a:ðhalts
aðhaldssamur,a:ðhaltsa:mʏr
aðhlynningar,a:ðl̥ɪniŋkar
aðhlynningu,a:ðl̥ɪniŋkʏ
aðhyllast,a:ðhɪtlast
aðhyllist,a:ðhɪtlɪst
aðhylltist,a:ðhɪl̥tɪst
aðila,a:ðɪla
aðilann,a:ðɪlan
aðilar,a:ðɪlar
aðilarnir,a:ðɪlatnɪr
aðild,a:ðɪlt
aðildar,a:ðɪltar
aðildarfélaga,a:ðɪltarfjɛ:laɣa
aðildarfélög,a:ðɪltarfjɛ:lœɣ
aðildarfyrirtækja,a:ðɪltarfɪrɪrtʰa:jca
aðildarlanda,a:ðɪltarlanta
aðildarlöndum,a:ðɪltarlœntʏm
aðildarríki,a:ðɪltaricɪ
aðildarríkin,a:ðɪltaricɪn
aðildarríkja,a:ðɪltarica
aðildarríkjanna,a:ðɪltaricana
aðildarríkjum,a:ðɪltaricʏm
aðildarríkjunum,a:ðɪltaricɔnʏm
aðildarumsókn,a:ðɪltarʏmsouhkn̥
aðildarviðræðum,a:ðɪltarvɪðraiðʏm
aðildarviðræður,a:ðɪltarvɪðraiðʏr
aðili,a:ðɪlɪ
aðilinn,a:ðɪlɪn
aðilum,a:ðɪlʏm
aðkallandi,aðkatlantɪ
aðkasti,aðkastɪ
aðkoma,aðkʰɔma
aðkoman,aðkʰɔman
aðkomu,aðkʰɔmʏ
aðkomufólk,aðkʰɔmʏfoul̥k
aðkomumaður,aðkʰɔmʏma:ðʏr
aðkomumanna,aðkʰɔmʏmana
aðkomumenn,aðkʰɔmʏmɛn
aðkomumönnum,aðkʰɔmʏmœnʏm
aðkomunni,aðkʰɔmʏnɪ
aðlaðandi,aðlaðantɪ
aðlaga,aðlaɣa
aðlagað,aðlaɣað
aðlagast,aðlaɣast
aðliggjandi,aðlɪcantɪ
aðlögun,aðlœɣʏn
aðlögunartíma,aðlœɣʏnarti:ma
aðnjótandi,aðnjoutantɪ
aðra,aðra
aðrar,aðrar
aðrennslisgöng,aðrɛnstlɪskœjŋk
aðrir,aðrɪr
aðsetur,aðsɛtʏr
aðsigi,aðsijɪ
aðskildi,aðscɪltɪ
aðskildir,aðscɪltɪr
aðskildu,aðscɪltʏ
aðskildum,aðscɪltʏm
aðskilið,aðscɪlɪð
aðskilin,aðscɪlɪn
aðskilja,aðscɪlja
aðskilnað,aðscɪlnað
aðskilnaðarsinna,aðscɪlnaðarsɪna
aðskilnaði,aðscɪlnaðɪ
aðskilnaður,aðscɪlnaðʏr
aðskotadýr,aðskɔtati:r
aðskotahlut,aðskɔtal̥ʏt
aðskotahlutur,aðskɔtal̥ʏ:tʏr
aðsókn,aðsouhkn̥
aðsóknar,aðsouhknar
aðsóknin,aðsouhknɪn
aðspurð,aðspʏrð
aðspurðra,aðspʏrðra
aðspurður,aðspʏrðʏr
aðstaða,aðstaða
aðstaðan,aðstaðan
aðstandenda,aðstantɛnta
aðstandendum,aðstantɛntʏm
aðstandendur,aðstantɛntʏr
aðsteðjandi,aðstɛðjantɪ
aðstoð,aðstɔð
aðstoða,aðstɔða
aðstoðað,aðstɔðað
aðstoðaði,aðstɔðaðɪ
aðstoðar,aðstɔðar
aðstoðardeildarstjóri,aðstɔðarteiltarstjou:rɪ
aðstoðarforingja,aðstɔðarfɔ:riɲca
aðstoðarforstjóri,aðstɔðarfɔr̥stjourɪ
aðstoðarforsætisráðherra,aðstɔðarfɔr̥saitɪsrau:ðhɛra
aðstoðarframkvæmdastjóri,aðstɔðarframkʰvaimtastjou:rɪ
aðstoðarmaður,aðstɔðarma:ðʏr
aðstoðarmaðurinn,aðstɔðarma:ðʏrɪn
aðstoðarmann,aðstɔðarman
aðstoðarmanna,aðstɔðarmana
aðstoðarmanni,aðstɔðarmanɪ
aðstoðarmanns,aðstɔðarmans
aðstoðarmenn,aðstɔðarmɛn
aðstoðarmönnum,aðstɔðarmœnʏm
aðstoðarráðherrann,aðstɔðarau:ðhɛran
aðstoðarskólameistara,aðstɔðarskɔ:ulamɛjstara
aðstoðarskólastjóra,aðstɔðarskɔ:ulastjɔ:ura
aðstoðarskólastjóri,aðstɔðarskou:lastjou:rɪ
aðstoðaryfirlögregluþjónn,aðstɔðarɪ:vɪrlœɣrɛklʏθjoutn̥
aðstoðarþjálfari,aðstɔðarθjaulvarɪ
aðstoði,aðstɔðɪ
aðstoðina,aðstɔðɪna
aðstoðuðu,aðstɔðʏðʏ
aðstæðna,aðstaiðna
aðstæðum,aðstaiðʏm
aðstæðunum,aðstaiðɔnʏm
aðstæður,aðstaiðʏr
aðstæðurnar,aðstaiðʏtnar
aðstöðu,aðstœðʏ
aðstöðuna,aðstœðʏna
aðstöðunni,aðstœðʏnɪ
aðvaraði,aðvaraðɪ
aðvart,aðvar̥t
aðventista,aðvɛn̥tɪsta
aðventistar,aðvɛn̥tɪstar
aðventkirkjan,aðvɛn̥tcʰɪr̥can
aðventu,aðvɛn̥tʏ
aðventukvöld,aðvɛn̥tʏkvœlt
aðventulag,aðvɛn̥tʏla:ɣ
aðventunni,aðvɛn̥tʏnɪ
aðvífandi,aðvivantɪ
aðvörun,aðvœrʏn
af,a:v
afa,a:va
afar,a:var
afarkosti,a:varkʰɔstɪ
afarnir,a:vatnɪr
afbakar,avpakar
afber,avpɛr
afbera,avpɛra
afborgana,avpɔrkana
afborganir,avpɔrkanɪr
afborgun,avpɔrkʏn
afborgunum,avpɔrkʏnʏm
afborið,avpɔrɪð
afbragð,avpraɣð
afbragðs,avpraɣðs
afbragðsfólk,avpraɣsfoul̥k
afbrigði,avprɪɣðɪ
afbrigðilegrar,avprɪɣðɪlɛɣrar
afbrigðilegt,avprɪɣðɪlɛxt
afbrigðum,avprɪɣðʏm
afbrot,avprɔt
afbrota,avprɔta
afbrotamenn,avprɔtamɛn
afbrotum,avprɔtʏm
afbrýði,avpriðɪ
afbrýðin,avpriðɪn
afbrýðisemi,avpriðɪsɛ:mɪ
afbrýðisemin,avpriðɪsɛ:mɪn
afbrýðisöm,avpriðɪsœ:m
afburða,avpʏrða
afburðahestur,avpʏrðahɛstʏr
afdráttarlaus,avtrauhtarlœi:s
afdráttarlaust,avtrauhtarlœist
afdrep,avtrɛp
afdrepið,avtrɛpɪð
afdrepinu,avtrɛpɪnʏ
afdrif,avtrɪv
afdrifarík,avtrɪvari:k
afdrifaríkar,avtrɪvari:kar
afdrifum,avtrɪvʏm
affalla,afatla
affalls,afals
afferma,afɛrma
affermingu,afɛrmiŋkʏ
afföll,afœtl̥
afföllin,afœtlɪn
afgamalli,avkamatlɪ
Afgana,avkana
Afganar,avkanar
afgang,avkauŋk
afgangateppi,avkauŋkatʰɛhpɪ
afgangi,avkauɲcɪ
afganginn,avkauɲcɪn
afganginum,avkauɲcɪnʏm
afgangur,avkauŋkʏr
afgangurinn,avkauŋkʏrɪn
Afganistan,avkanɪstan
Afganistans,avkanɪstans
afganska,avkanska
afganskra,avkanskra
afgerandi,avcɛrantɪ
afgirt,avcɪr̥t
afglöp,avklœp
afgreidd,avkreit
afgreiddar,avkreitar
afgreiddi,avkreitɪ
afgreiða,avkreiða
afgreiði,avkreiðɪ
afgreiðsla,avkreiðstla
afgreiðslu,avkreiðstlʏ
afgreiðsluborð,avkreiðstlʏpɔrð
afgreiðslugjöld,avkreiðstlʏcœlt
afgreiðslukerfi,avkrɛjðstlʏcʰɛrvɪ
afgreiðslukonan,avkreiðstlʏkʰɔ:nan
afgreiðsluna,avkreiðstlʏna
afgreiðslunefnd,avkrɛjðstlʏnɛmt
afgreiðslunni,avkreiðstlʏnɪ
afgreiðslustelpan,avkreiðstlʏstɛl̥pan
afgreiðslustúlka,avkreiðstlʏstulkan
afgreiðslustúlkan,avkreiðstlʏstul̥kan
afgreiðslutíma,avkreiðstlʏti:ma
afgreiðslutími,avkreiðstlʏti:mɪ
afgreitt,avkreiht
afgönsku,avkœnskʏ
afhenda,a:vhɛnta
afhending,a:vhɛntiŋk
afhendingar,a:vhɛntiŋkar
afhendingartími,a:vhɛntiŋkartʰi:mɪ
afhendingu,a:vhɛntiŋkʏ
afhendir,a:vhɛntɪr
afhent,a:vhɛn̥t
afhenta,a:vhɛn̥ta
afhentan,a:vhɛn̥tan
afhentar,a:vhɛn̥tar
afhenti,a:vhɛn̥tɪ
afhentir,a:vhɛn̥tɪr
afhentu,a:vhɛn̥tʏ
afhentum,a:vhɛn̥tʏm
afhentur,a:vhɛn̥tʏr
afhjúpa,afçupa
afhjúpað,afçupað
afhjúpaði,afçupaðɪ
afhjúpaður,afçupaðʏr
afhjúpar,afçupar
afhjúpuð,afçupʏð
afhjúpun,afçupʏn
afhomma,a:fhɔma
afhroð,afr̥ɔð
afhuga,a:fhʏɣa
afhöggvinn,a:fhœkvɪn
afi,a:vɪ
afkastagetu,avkʰastacɛ:tʏ
afkastamesta,avkʰastamɛsta
afkastamikill,avkʰastamɪcɪtl̥
afkastar,avkʰastar
afkáralega,avkʰauralɛɣa
afkáralegum,avkʰauralɛɣʏm
afkima,avcʰɪma
afklæddi,avkʰlaitɪ
afklæddist,avkʰlaitɪst
afklæðast,avkʰlaiðast
afkoma,avkʰɔma
afkoman,avkʰɔman
afkomandi,avkʰɔmantɪ
afkomenda,avkʰɔmɛnta
afkomendum,avkʰɔmɛntʏm
afkomendur,avkʰɔmɛntʏr
afkomu,avkʰɔmʏ
afkomukreppu,avkʰɔmʏkrɛhpʏ
afkomuna,avkʰɔmʏna
afkomutölur,avkʰɔmʏtœ:lʏr
afkomuviðvörun,avkʰɔmʏvɪðvœrʏn
afkróuð,avkrouʏð
afkvæmarannsókn,avkʰvajmaransouhkn̥
afkvæmi,avkʰvaimɪ
afkvæmin,avkʰvajmɪn
afkvæminu,avkʰvajmɪnʏ
afkvæmum,avkʰvaimʏm
afköst,avkʰœst
afköstin,avkʰœstɪn
afköstum,avkʰœstʏm
afl,apl̥
afla,apla
aflabrögð,aplaprœɣð
aflað,aplað
aflaði,aplaðɪ
aflaga,avlaɣa
Aflagranda,aplakranta
Aflagrandi,aplakrantɪ
aflaheimilda,aplaheimɪlta
aflaheimildir,aplaheimɪltɪr
aflaheimildum,aplaheimɪltʏm
aflahlutdeild,aplal̥ʏ:teilt
aflahlutdeilda,aplal̥ʏ:teilta
aflahlutdeildar,aplal̥ʏ:teiltar
aflahlutdeildir,aplal̥ʏ:teiltɪr
aflahlutdeildum,aplal̥ʏ:teiltʏm
aflamark,aplamar̥k
aflamarki,aplamar̥cɪ
aflamarks,aplamar̥ks
aflamarksbátum,aplamar̥kspa:utʏm
aflamarkskerfi,aplamar̥kscʰɛrvɪ
aflamarkskerfið,aplamar̥kscʰɛrvɪð
aflann,aplan
aflans,aplans
aflanum,aplanʏm
aflar,aplar
aflaskipinu,aplascɪ:pɪnʏ
aflaskýrslu,aplascistlʏ
aflausn,avlœistn̥
aflaverðmæti,aplavɛrðmaitɪ
afláts,avlauts
afleggjara,avlɛcara
afleggjaranum,avlɛcaranʏm
afleidd,avlɛjt
afleiða,avlɛjða
afleiðing,avleiðiŋk
afleiðinga,avleiðiŋka
afleiðingar,avleiðiŋkar
afleiðingarnar,avleiðiŋkatnar
afleiðingin,avleiðiɲcɪn
afleiðingum,avleiðiŋkʏm
afleiðingunum,avleiðiŋkɔnʏm
afleit,avleit
afleitar,avlɛjtar
afleitt,avleiht
aflestrar,avlɛstrar
aflétt,avljɛht
aflétta,avljɛhta
aflhnefa,apln̥ɛva
aflhnefi,apln̥ɛvɪ
afli,aplɪ
aflið,aplɪð
aflinn,aplɪn
aflíðandi,avliðantɪ
aflmeiri,aplmeirɪ
aflmiklar,aplmɪhklar
afloknu,avlɔhknʏ
afloknum,avlɔhknʏm
aflóga,avloua
afls,apl̥s
aflspennar,apl̥spɛnar
aflstýri,abl̥stirɪ
aflýsa,avlisa
aflýst,avlist
aflögð,avlœɣð
aflögu,avlœɣðʏ
afmarka,avmar̥ka
afmarkað,avmar̥kað
afmarkaða,avmar̥kaða
afmarkast,avmar̥kast
afmá,avmau
afmáir,avmauɪr
afmyndað,avmɪntað
afmyndaðist,avmɪntaðɪst
afmæli,amailɪ
afmælið,amailɪð
afmælinu,amailɪnʏ
afmælis,amailɪs
afmælisbarnið,amajlɪspartnɪð
afmælisbarninu,amajlɪspartnɪnʏ
afmælisbarns,amailɪspar̥s
afmælisdag,amailɪsta:ɣ
afmælisdaginn,amailɪsta:jɪn
afmælisdagurinn,amailɪsta:ɣʏrɪn
afmælisdegi,amailɪstei:jɪ
afmælisfréttir,amailɪsfrjɛhtɪr
afmælisgesta,amajlɪsɛsta
afmælisgjöf,amailɪscœ:v
afmælisgreina,amailɪskrei:na
afmælishátíð,amailɪshau:tið
afmælisins,amailɪsɪns
afmæliskveðjur,amailɪskvɛðjʏr
afmælispartí,amajlɪspar̥ti
afmælissamkomu,amajlɪsamkʰɔmʏ
afmælissönginn,amajlɪsœjɲcɪn
afmælissöngnum,amajlɪsœjŋknʏm
afmælistilkynningum,amailɪstɪlcɪniŋkʏm
afmælisveislan,amajlɪsvɛjstlan
afmælisveislu,amailɪsveistlʏ
afmælum,amailʏm
afmörkuð,avmœr̥kʏð
afmörkuðu,avmœr̥kʏðʏ
afmörkuðum,avmœr̥kʏðʏm
afmörkun,avmœr̥kʏn
afnám,avnaum
afnámi,avnaumɪ
afnáms,avnaums
afneita,avneita
afneitað,avneitað
afneitun,avneitʏn
afnema,avnɛma
afnot,avnɔt
afnota,avnɔta
afnotagjald,avnɔtacalt
afnotagjöld,avnɔtacœlt
afnotaleyfi,avnɔtalɛ:jvɪ
afnotarétt,avnɔtarjɛht
afnotum,avnɔtʏm
afnumið,avnʏmɪð
afnumin,avnʏmɪn
afoxun,a:fɔksʏn
afplána,avplauna
afplánun,avplaunʏn
afrakstur,avrakstʏr
afraksturinn,avrakstʏrɪn
afráðið,avrauðɪð
afrek,avrɛk
afreka,avrɛka
afrekað,avrɛkað
afreki,avrɛcɪ
afreksbikar,avrɛxspɪ:kar
afrekshópi,avrɛxshɔ:upɪ
afreksmaður,avrɛxsma:ðʏr
afreksstig,avrɛxstɪ:ɣ
afrekum,avrɛkʏm
afréð,avrjɛð
afréðu,avrjɛðʏ
afréðum,avrjɛðʏm
afréttarlöndin,avrjɛhtarlœntɪn
afrétti,avrjɛhtɪ
afrifu,avrɪvʏ
afrit,avrɪt
afrita,avrɪta
afritið,avrɪtɪð
afritunar,avrɪtʏnar
afritunarhnappinn,avrɪtʏnarn̥ahpɪn
Afríka,a:frika
afríkans,a:frikans
Afríku,a:frikʏ
afríkuferð,a:frikʏfɛrð
Afríkumaðurinn,a:frikʏma:ðʏrɪn
Afríkumann,a:frikʏman
afríkumanninum,a:frikʏmanɪnʏm
Afríkumenn,a:frikʏmɛn
afríkuríkjum,a:frikʏri:cʏm
afríkuverkefnisins,a:frikʏvɛr̥kɛpnɪsɪns
afríska,a:friska
afrískir,a:friscɪr
afrískum,a:friskʏm
afsagnar,afsaknar
afsaka,afsaka
afsakaðan,afsakaðan
afsakanirnar,afsakanɪtnar
afsakið,afsacɪð
afsal,afsal
afsala,afsala
afsalað,afsalað
afsals,afsals
afsanna,afsana
afsíðis,afsiðɪs
afskaplega,afskaplɛɣa
afskekkt,afscɛxt
afskekkta,afscɛxta
afskekktan,afscɛxtan
afskekktu,afscɛxtʏ
afskekktum,afscɛxtʏm
afskipta,afscɪfta
afskiptalaus,afscɪftalœis
afskiptalausa,afscɪftalœi:sa
afskiptaleysi,afscɪftalei:sɪ
afskiptasemi,afscɪftasɛ:mɪ
afskipti,afscɪftɪ
afskiptum,afscɪftʏm
afskrá,afskrau
afskrifa,afskrɪva
afskrifta,avskrɪfta
afskriftareikning,avskrɪftareihkniŋk
afskriftir,afskrɪftɪr
afskræmt,afskraim̥t
afslappað,afstlahpað
afslappaður,afstlahpaðʏr
afslátt,afstlauht
afsláttar,afstlauhtar
afsláttur,afstlauhtʏr
afslætti,afstlaihtɪ
afslöppuð,afstlœhpʏð
afsprengi,afspreiɲcɪ
afspurn,afspʏrtn̥
afstaða,afstaða
afstaðan,afstaðan
afstaðið,afstaðɪð
afstaðin,afstaðɪn
afstýra,afstira
afstýrt,afstir̥t
afstæður,afstaiðʏr
afstætt,afstaiht
afstöðu,afstœðʏ
afstöðubreytingu,afstœðʏprɛ:jtiŋkʏ
afsögn,afsœkn̥
afsökun,afsœkʏn
afsökunar,afsœkʏnar
afsökunarbeiðni,afsœkʏnarpeiðnɪ
aftakan,aftʰakan
aftan,aftan
aftansöngur,aftansœiŋkʏr
aftar,aftar
aftari,aftarɪ
aftarlega,aftarlɛɣa
aftast,aftast
aftasta,aftasta
aftra,aftra
aftraði,aftraðɪ
aftur,aftʏr
afturábak,aftʏraupa:k
afturdyrnar,aftʏrtɪtnar
Afturelding,aftʏrɛltiŋk
Aftureldingar,aftʏrɛltiŋkar
Aftureldingu,aftʏrɛltiŋkʏ
afturenda,aftʏrɛnta
afturendann,aftʏrɛntan
afturfótunum,aftʏrfou:tɔnʏm
afturfæturna,aftʏrfai:tʏtna
afturför,aftʏrfœ:r
afturgluggann,aftʏrklʏkan
afturgoldið,aftʏrkɔltɪð
afturgöngu,aftʏrkœiŋkʏ
afturgöngur,aftʏrkœiŋkʏr
afturhjólanna,aftʏrçɔ:ulana
afturhvarf,aftʏrkvarv
afturí,aftʏri:
afturkalla,aftʏrkatla
afturkvæmt,aftʏrkʰvaim̥t
afturlappirnar,aftʏrlahpɪtnar
afturlöppunum,aftʏrlœhpɔnʏm
afturstuðarann,aftʏrstʏðaran
aftursæta,aftʏrsajta
aftursæti,aftʏrsai:tɪ
aftursætið,aftʏrsai:tɪð
aftursætinu,aftʏrsai:tɪnʏ
aftursætum,aftʏrsai:tʏm
aftöku,aftœkʏ
aftökur,aftœkʏr
afundin,a:vʏntɪn
afundinn,a:vʏntɪn
afurð,a:vʏrð
afurða,a:vʏrða
